MD5;ROM Serial;Name (No-Intro);is_synthetic
52A9D2992A270EE3184553CAF4FDBA2B;DMG-AYMJ-1;Gakkyuu Ou Yamazaki (Japan) (Rev A) (GB Compatible);False
17DAE7EC46263600C54687D78B582E5E;CGB-BGGE-0;Galaga - Destination Earth (USA);True
3B9116DCB4A3B4CC943F75B8B7E88212;CGB-BGYJ-0;Gambler Densetsu Tetsuya - Shinjuku Tenun Hen (Japan);True
CBF4A5B2FF566554B014118E3D0E3E9A;DMG-AGLP-0;Game & Watch Gallery 2 (USA, Europe) (SGB Enhanced) (GB Compatible);False
F1BB0127347994B46258ADBDA0DC0B16;DMG-AGQP-0;Game & Watch Gallery 3 (USA, Europe) (SGB Enhanced) (GB Compatible);True
0B4F167D39212F40F793FE1EC19421D7;CGB-ADME-0;Game Boy Color (USA) (Promo);False
809EC52E50279A174A4908E3EA46DCF6;DMG-AGLU-0;Game Boy Gallery 3 (Australia) (SGB Enhanced) (GB Compatible);False
1C7355ED58DAF1EBCCEEA71BA5CBB694;DMG-AGQJ-0;Game Boy Gallery 3 (Japan) (SGB Enhanced) (GB Compatible);False
FCA034C2494A20C8A75DD1FF0BCC7545;DMG-AGQU-0;Game Boy Gallery 4 (Australia) (SGB Enhanced) (GB Compatible);False
3833C21CBB63605FC365B5E3AA005994;DMG-AWOJ-0;Game Boy Wars 2 (Japan) (SGB Enhanced) (GB Compatible);False
748FA9419B35C0E8E43509457AAA1EFA;CGB-BWWJ-0;Game Boy Wars 3 (Japan);False
76A95FEE3D90722FD935C7658512F5CC;DMG-BG2J-0;Game Conveni 21 (Japan) (GB Compatible);False
3A9E8EAFABF705600D6C6C6EB832A56D;CGB-BFGP-0;Games Frenzy (Europe) (En,Fr,De);True
B1E72BA9C23587D002BF1059504AD6DB;CGB-BEKJ-0;Ganbare Goemon - Seikuushi Dynamites Arawaru!! (Japan);True
7C700360A46F54796802CA7C7BF499C5;DMG-AEFJ-0;Ganbare Goemon - Mononoke Douchuu Tobidase Nabebugyou! (Japan) (SGB Enhanced) (GB Compatible);True
